データ種別	項目名	項目名（日本語）	説明	データ型
現場	fi4m_yohi	幅員4m未満道路の通過	「(要)・(不要)」	2値
現場	fi3m_yohi	幅員3m未満道路の通過	「(要)・(不要)」	2値
現場	fi4m_kyori	幅員3m以上4m未満道路の通過距離	幅員3m以上4m未満道路の通過距離	数値
現場	fi3m_kyori	幅員3m未満道路の通過距離	幅員3m未満道路の通過距離	数値
現場	bus_yohi	バス要否	「(要)・(不要)」	2値
現場	bus_hon	平日１日のバス運行本数	平日１日のバス運行本数	数値
現場	sho_conv	コンビニ	徒歩5分圏内にある場合「○」	2値
現場	sho_super	スーパー	徒歩5分圏内にある場合「○」	2値
現場	sho_shoten	商店街	徒歩5分圏内にある場合「○」	2値
現場	sho_market	大型商業施設	徒歩5分圏内にある場合「○」	2値
現場	shu_jutaku	住宅地	該当する場合「○」	2値
現場	shu_park	公園隣接	該当する場合「○」	2値
現場	shu_shop	商店隣接	該当する場合「○」	2値
現場	shu_factory	工場隣接	該当する場合「○」	2値
現場	shu_hvline	高圧線下	該当する場合「○」	2値
現場	shu_tower	鉄塔横	該当する場合「○」	2値
現場	shu_bochi	墓地隣接	該当する場合「○」	2値
現場	shu_sogi	葬儀場隣接	該当する場合「○」	2値
現場	shu_zoki	雑木林隣接	該当する場合「○」	2値
現場	shu_kokyo	公共施設隣接	該当する場合「○」	2値
現場	shu_highway	高速道路沿い	該当する場合「○」	2値
現場	shu_kaido	街道隣接	該当する場合「○」	2値
現場	shu_line_ari	線路沿い/近い(騒音影響有)	該当する場合「○」	2値
現場	shu_line_nashi	線路沿い/近い(騒音影響無)	該当する場合「○」	2値
現場	shu_soon	その他騒音有	該当する場合「○」	2値
現場	gk_yoc_tm	幼稚園徒歩	幼稚園までの徒歩時間	数値
現場	gk_sho_tm	小学校徒歩	小学校までの徒歩時間	数値
現場	gk_chu_tm	中学校徒歩	中学校までの徒歩時間	数値
現場	rs_e_kdate2	隣接物件東戸建（2F以下）	該当する場合「○」	2値
現場	rs_e_kdate3	隣接物件東戸建（3F以上）	該当する場合「○」	2値
現場	rs_e_parking	隣接物件東駐車場	該当する場合「○」	2値
現場	rs_e_zoki	隣接物件東雑木林	該当する場合「○」	2値
現場	rs_e_m_ari	隣接物件東マンション（影響有）	該当する場合「○」 ※宅地にマンションの影がかかる場合	2値
現場	rs_e_m_nashi	隣接物件東マンション（影響無）	該当する場合「○」	2値
現場	rs_e_tahata	隣接物件東田畑	該当する場合「○」	2値
現場	rs_w_kdate2	隣接物件西戸建（2F以下）	該当する場合「○」	2値
現場	rs_w_kdate3	隣接物件西戸建（3F以上）	該当する場合「○」	2値
現場	rs_w_parking	隣接物件西駐車場	該当する場合「○」	2値
現場	rs_w_zoki	隣接物件西雑木林	該当する場合「○」	2値
現場	rs_w_m_ari	隣接物件西マンション（影響有）	該当する場合「○」 ※宅地にマンションの影がかかる場合	2値
現場	rs_w_m_nashi	隣接物件西マンション（影響無）	該当する場合「○」	2値
現場	rs_w_tahata	隣接物件西田畑	該当する場合「○」	2値
現場	rs_s_kdate2	隣接物件南戸建（2F以下）	該当する場合「○」	2値
現場	rs_s_kdate3	隣接物件南戸建（3F以上）	該当する場合「○」	2値
現場	rs_s_parking	隣接物件南駐車場	該当する場合「○」	2値
現場	rs_s_zoki	隣接物件南雑木林	該当する場合「○」	2値
現場	rs_s_m_ari	隣接物件南マンション（影響有）	該当する場合「○」 ※宅地にマンションの影がかかる場合	2値
現場	rs_s_m_nashi	隣接物件南マンション（影響無）	該当する場合「○」	2値
現場	rs_s_tahata	隣接物件南田畑	該当する場合「○」	2値
現場	rs_n_kdate2	隣接物件北戸建（2F以下）	該当する場合「○」	2値
現場	rs_n_kdate3	隣接物件北戸建（3F以上）	該当する場合「○」	2値
現場	rs_n_parking	隣接物件北駐車場	該当する場合「○」	2値
現場	rs_n_zoki	隣接物件北雑木林	該当する場合「○」	2値
現場	rs_n_m_ari	隣接物件北マンション（影響有）	該当する場合「○」 ※宅地にマンションの影がかかる場合	2値
現場	rs_n_m_nashi	隣接物件北マンション（影響無）	該当する場合「○」	2値
現場	rs_n_tahata	隣接物件北田畑	該当する場合「○」	2値
現場	rosen_nm1	路線1	主に利用する路線の名前	テキスト
現場	eki_nm1	駅1	主に利用する駅の名前	テキスト
現場	bas_toho1	バス徒歩1	駅1までの移動手段「徒歩・バス・車」	カテゴリ
現場	eki_kyori1	駅距離1	バス徒歩1での移動による駅1までの移動時間（分）	数値
現場	bastei_nm1	バス停1	主に利用するバス停の名前	テキスト
現場	teiho1	バス停徒歩1	徒歩による最寄りのバス停1までの移動時間（分）	数値
現場	rosen_nm2	路線2	サブとして利用する路線の名前	テキスト
現場	eki_nm2	駅2	サブとして利用する駅の名前	テキスト
現場	bas_toho2	バス徒歩2	駅2までの移動手段「徒歩・バス・車」	カテゴリ
現場	eki_kyori2	駅距離2	バス徒歩2での移動による駅2までの移動時間（分）	数値
現場	bastei_nm2	バス停2	サブとして利用するバス停の名前	テキスト
現場	teiho2	バス停徒歩2	徒歩による最寄りのバス停2までの移動時間（分）	数値
号棟	pj_no	PJ番号	プロジェクト番号。現場データと号棟データの紐付けキー。	数値
号棟	keiyaku_pr	契約金額	目的変数となる土地の販売価格	数値
号棟	tc_mseki	土地面積	土地面積㎡数	数値
号棟	tt_mseki	建物面積	建物面積㎡数	数値
号棟	levelplan	階数・プラン	「土地売り・1F/1LDK・1F/1LDK+S・1F/1LDK+2S・1F/2LDK・1F/2LDK+S・1F/2LDK+2S・1F/3DK・1F/3LDK・1F/3LDK+S・1F/3LDK+2S・1F/4DK・1F/4LDK・1F/4LDK+S・1F/4LDK+2S・1F/5DK・1F/5LDK・1F/5LDK+S・1F/5LDK+2S・2F/1LDK+S・2F/1LDK+2S・2F/2LDK・2F/2LDK+S・2F/2LDK+2S・2F/3DK・2F/3LDK・2F/3LDK+S・2F/3LDK+2S・2F/4DK・2F/4LDK・2F/4LDK+S・2F/4LDK+2S・2F/5DK・2F/5LDK・2F/5LDK+S・2F/5LDK+2S・3F/1LDK+S・3F/1LDK+2S・3F/2LDK・3F/2LDK+S・3F/2LDK+2S・3F/3DK・3F/3LDK・3F/3LDK+S・3F/3LDK+2S・3F/4DK・3F/4LDK・3F/4LDK+S・3F/4LDK+2S・3F/5DK・3F/5LDK・3F/5LDK+S・3F/5LDK+2S」	カテゴリ
号棟	fukuin	幅員〔m〕	前面道路の幅員〔m〕	数値
号棟	road_st	道路状況	「未舗装・歩道あり・歩道+緑地帯あり・問題なし」	カテゴリ
号棟	magutchi	間口〔m〕	前面道路の間口〔m〕	数値
号棟	setsudo_hi	接道方位	「東・西・南・北・南東・南西・北東・北西・東＋西・東＋南・東＋北・東＋南東・東＋南西・東＋北東・東＋北西・西＋東・西＋南・西＋北・西＋南東・西＋南西・西＋北東・西＋北西・南＋東・南＋西・南＋北・南＋南東・南＋南西・南＋北東・南＋北西・北＋東・北＋西・北＋南・北＋南東・北＋南西・北＋北東・北＋北西・南東＋東・南東＋西・南東＋南・南東＋北・南東＋南西・南東＋北東・南東＋北西・南西＋東・南西＋西・南西＋南・南西＋北・南西＋南東・南西＋北東・南西＋北西・北東＋東・北東＋西・北東＋南・北東＋北・北東＋南東・北東＋南西・北東＋北西・北西＋東・北西＋西・北西＋南・北西＋北・北西＋南東・北西＋南西・北西＋北東」	カテゴリ
号棟	setsudo_kj	接道形状	「良い・普通・悪い」	カテゴリ
号棟	jigata	地型	「整形地・敷地延長・不整形地・間口狭・奥行長」	カテゴリ
号棟	hiatari	日当たり	「良い・普通・悪い」	カテゴリ
号棟	niwasaki	庭先〔m〕	庭先〔m〕　隣地（または道路）までの距離	数値
号棟	garage	車庫〔台〕	車庫〔台〕	数値
号棟	kobetsu1	個別要因①	「高圧線下・信号近い・信号前・横断歩道前・踏切付近・ごみ置き場前・心理的瑕疵あり・計画道路・地役権有・敷延2ｍ絞りあり・宅内高低差あり・嫌悪施設隣接・アパート南隣・街道沿い・交通量多い・裏道・行き止まり・行き止まり途中・車進入困難・前面道が坂途中・眺望良・床暖房付・エネファーム付・角地・二方路・三方路」 ※複数ある場合は①～④を利用	カテゴリ
号棟	kobetsu2	個別要因②	「高圧線下・信号近い・信号前・横断歩道前・踏切付近・ごみ置き場前・心理的瑕疵あり・計画道路・地役権有・敷延2ｍ絞りあり・宅内高低差あり・嫌悪施設隣接・アパート南隣・街道沿い・交通量多い・裏道・行き止まり・行き止まり途中・車進入困難・前面道が坂途中・眺望良・床暖房付・エネファーム付・角地・二方路・三方路」 ※複数ある場合は①～④を利用	カテゴリ
号棟	kobetsu3	個別要因③	「高圧線下・信号近い・信号前・横断歩道前・踏切付近・ごみ置き場前・心理的瑕疵あり・計画道路・地役権有・敷延2ｍ絞りあり・宅内高低差あり・嫌悪施設隣接・アパート南隣・街道沿い・交通量多い・裏道・行き止まり・行き止まり途中・車進入困難・前面道が坂途中・眺望良・床暖房付・エネファーム付・角地・二方路・三方路」 ※複数ある場合は①～④を利用	カテゴリ
号棟	kobetsu4	個別要因④	「高圧線下・信号近い・信号前・横断歩道前・踏切付近・ごみ置き場前・心理的瑕疵あり・計画道路・地役権有・敷延2ｍ絞りあり・宅内高低差あり・嫌悪施設隣接・アパート南隣・街道沿い・交通量多い・裏道・行き止まり・行き止まり途中・車進入困難・前面道が坂途中・眺望良・床暖房付・エネファーム付・角地・二方路・三方路」 ※複数ある場合は①～④を利用	カテゴリ
